Date,Location,Total Cases,Total Deaths,Total Recovered,Total Active Cases
3/1/2020,DKI Jakarta,39,20,41,-22
3/2/2020,DKI Jakarta,41,20,41,-20
3/2/2020,Riau,2,0,3,-1
3/3/2020,DKI Jakarta,43,20,41,-18
3/3/2020,Jawa Barat,1,1,8,-8
3/3/2020,Riau,2,0,3,-1
3/4/2020,DKI Jakarta,45,20,41,-16
3/4/2020,Jawa Barat,2,1,8,-7
3/4/2020,Riau,2,0,3,-1
3/5/2020,DKI Jakarta,45,21,41,-17
3/5/2020,Jawa Barat,3,1,8,-6
3/5/2020,Riau,2,0,3,-1
3/6/2020,Banten,1,5,74,-78
3/6/2020,DKI Jakarta,45,21,41,-17
3/6/2020,Jawa Barat,4,1,8,-5
3/6/2020,Riau,2,0,3,-1
3/7/2020,Banten,1,5,74,-78
3/7/2020,DKI Jakarta,45,23,41,-19
3/7/2020,Jawa Barat,4,1,8,-5
3/7/2020,Riau,2,0,3,-1
3/8/2020,Banten,2,5,77,-80
3/8/2020,DKI Jakarta,45,23,41,-19
3/8/2020,Jawa Barat,4,1,8,-5
3/8/2020,Jawa Tengah,1,8,8,-15
3/8/2020,Riau,2,0,3,-1
3/9/2020,Banten,2,5,77,-80
3/9/2020,DKI Jakarta,45,24,41,-20
3/9/2020,Jawa Barat,4,1,8,-5
3/9/2020,Jawa Tengah,1,8,8,-15
3/9/2020,Riau,2,0,3,-1
3/10/2020,Banten,2,5,85,-88
3/10/2020,DKI Jakarta,45,24,41,-20
3/10/2020,Jawa Barat,4,1,8,-5
3/10/2020,Jawa Tengah,1,8,8,-15
3/10/2020,Riau,2,0,3,-1
3/10/2020,Sulawesi Tenggara,1,0,0,1
3/11/2020,Bali,1,1,3,-3
3/11/2020,Banten,2,5,93,-96
3/11/2020,DKI Jakarta,45,24,41,-20
3/11/2020,Jawa Barat,4,2,8,-6
3/11/2020,Jawa Tengah,3,9,9,-15
3/11/2020,Riau,2,0,3,-1
3/11/2020,Sulawesi Tenggara,1,0,0,1
3/12/2020,Bali,1,1,3,-3
3/12/2020,Banten,2,6,95,-99
3/12/2020,DKI Jakarta,47,25,45,-23
3/12/2020,Jawa Barat,5,2,8,-5
3/12/2020,Jawa Tengah,3,9,9,-15
3/12/2020,Riau,2,0,3,-1
3/12/2020,Sulawesi Tenggara,1,0,0,1
3/13/2020,Bali,1,1,3,-3
